iter	Passed	Remaining
401	18829	49227
402	18876	49181
403	18919	49126
404	18963	49072
405	19006	49014
406	19049	48958
407	19099	48918
408	19143	48864
409	19179	48791
410	19225	48740
411	19271	48693
412	19314	48637
413	19363	48596
414	19410	48548
415	19460	48511
416	19511	48473
417	19557	48425
418	19603	48376
419	19652	48336
420	19697	48284
421	19741	48231
422	19789	48186
423	19835	48139
424	19885	48099
425	19935	48060
426	19986	48023
427	20036	47983
428	20082	47935
429	20126	47881
430	20167	47821
431	20214	47775
432	20263	47732
433	20304	47673
434	20352	47628
435	20397	47577
436	20441	47526
437	20485	47470
438	20531	47424
439	20578	47377
440	20621	47321
441	20666	47270
442	20714	47227
443	20764	47186
444	20810	47138
445	20853	47084
446	20906	47051
447	20947	46991
448	20994	46945
449	21038	46893
450	21083	46842
451	21129	46793
452	21178	46752
453	21225	46706
454	21274	46663
455	21315	46604
456	21358	46549
457	21407	46507
458	21452	46456
459	21501	46414
460	21548	46369
461	21592	46315
462	21643	46279
463	21690	46231
464	21737	46187
465	21784	46139
466	21830	46092
467	21880	46052
468	21931	46015
469	21973	45958
470	22020	45910
471	22069	45870
472	22117	45824
473	22163	45776
474	22210	45730
475	22257	45684
476	22305	45639
477	22351	45592
478	22399	45547
479	22446	45501
480	22496	45460
481	22537	45402
482	22581	45349
483	22631	45310
484	22682	45271
485	22725	45216
486	22773	45173
487	22823	45131
488	22869	45083
489	22909	45024
490	22959	44982
491	23002	44930
492	23047	44878
493	23093	44831
494	23135	44775
495	23183	44730
496	23236	44696
497	23280	44644
498	23328	44599
499	23377	44556
500	23427	44516
501	23475	44473
502	23525	44431
503	23571	44384
504	23617	44336
505	23668	44297
506	23718	44256
507	23764	44207
508	23813	44165
509	23862	44122
510	23906	44069
511	23954	44025
512	24003	43983
513	24052	43940
514	24101	43897
515	24148	43851
516	24193	43801
517	24243	43759
518	24287	43707
519	24331	43656
520	24377	43608
521	24426	43565
522	24471	43514
523	24509	43453
524	24553	43401
525	24598	43351
526	24644	43302
